waktu,kota,negara,suhu_celsius,terasa_seperti_celsius,kelembapan_persen,kecepatan_angin_mps,kecepatan_angin_kmh,cuaca_utama,deskripsi_cuaca,ikon_cuaca,tutupan_awan_persen,tekanan_hpa,visibilitas_m
2025-12-18T16:21:32.638378Z,Solo,ID,20.93,21.45,91,1.43,5.15,Clouds,awan tersebar,03n,42,1009,10000
2025-12-18T16:21:43.316151Z,Solo,ID,20.93,21.45,91,1.43,5.15,Clouds,awan tersebar,03n,42,1009,10000
2025-12-18T16:42:29.145951Z,Solo,ID,20.8,21.31,91,1.14,4.1,Clouds,awan tersebar,03n,41,1008,10000
2025-12-18T16:52:26.555515Z,Solo,ID,20.8,21.31,91,1.14,4.1,Clouds,awan tersebar,03n,41,1008,10000
2025-12-18T17:20:18.599871Z,Solo,ID,20.8,21.31,91,1.14,4.1,Clouds,awan tersebar,03n,41,1008,10000
2025-12-18T17:44:10.564254Z,Solo,ID,20.77,21.25,90,0.89,3.2,Clouds,awan tersebar,03n,37,1008,10000
2025-12-18T17:57:01.754473Z,Solo,ID,20.77,21.25,90,1.18,4.25,Clouds,awan tersebar,03n,37,1008,10000
2025-12-18T18:42:00.587660Z,Solo,ID,20.69,21.16,90,1.1,3.96,Clouds,awan pecah,04n,52,1007,10000
2025-12-18T19:01:02.712772Z,Solo,ID,20.75,21.2,89,1.1,3.96,Clouds,awan pecah,04n,52,1007,10000
2025-12-18T19:24:52.923643Z,Solo,ID,20.75,21.2,89,1.1,3.96,Clouds,awan pecah,04n,52,1007,10000
2025-12-18T19:38:48.882640Z,Solo,ID,20.75,21.18,88,1.04,3.74,Clouds,awan pecah,04n,51,1008,10000
2025-12-18T19:50:27.178993Z,Solo,ID,20.75,21.18,88,1.04,3.74,Clouds,awan pecah,04n,51,1008,10000
2025-12-18T20:13:14.321423Z,Solo,ID,20.75,21.18,88,1.04,3.74,Clouds,awan pecah,04n,51,1008,10000
2025-12-18T20:34:59.903783Z,Solo,ID,20.72,21.12,87,0.82,2.95,Clouds,awan tersebar,03n,49,1008,10000
2025-12-18T20:50:14.225037Z,Solo,ID,20.72,21.12,87,0.82,2.95,Clouds,awan tersebar,03n,49,1008,10000
2025-12-18T21:10:42.430310Z,Solo,ID,20.72,21.12,87,0.82,2.95,Clouds,awan tersebar,03n,49,1008,10000
2025-12-18T21:29:25.392617Z,Solo,ID,20.72,21.12,87,0.82,2.95,Clouds,awan tersebar,03n,49,1008,10000
2025-12-18T21:44:00.984928Z,Solo,ID,20.99,21.42,87,0.7,2.52,Clouds,awan tersebar,03d,38,1009,10000
2025-12-18T21:56:04.831637Z,Solo,ID,20.99,21.42,87,0.7,2.52,Clouds,awan tersebar,03d,38,1009,10000
2025-12-18T22:25:29.973402Z,Solo,ID,20.99,21.42,87,0.7,2.52,Clouds,awan tersebar,03d,38,1009,10000
2025-12-18T22:45:15.597217Z,Solo,ID,22.55,23.03,83,0.79,2.84,Clouds,awan tersebar,03d,34,1009,10000
2025-12-18T22:56:43.356048Z,Solo,ID,22.55,23.03,83,0.79,2.84,Clouds,awan tersebar,03d,34,1009,10000
2025-12-18T23:26:26.528556Z,Solo,ID,22.55,23.03,83,0.79,2.84,Clouds,awan tersebar,03d,34,1009,10000
2025-12-18T23:43:07.550213Z,Solo,ID,24.16,24.64,77,0.58,2.09,Clouds,awan tersebar,03d,31,1010,10000
2025-12-18T23:54:31.181106Z,Solo,ID,24.16,24.64,77,0.58,2.09,Clouds,awan tersebar,03d,31,1010,10000
